$BUILT 2014-02-06 14:59:52
:geoo/sandstone/64x16: 288 16
:geoo/sandstone/64x16: 352 16
:geoo/sandstone/64x16: 416 16
:geoo/sandstone/64x16: 480 16
:geoo/sandstone/64x16: 544 16
:geoo/sandstone/64x16: 0 0
:geoo/sandstone/64x16: 64 0
:geoo/sandstone/64x16: 128 0
:geoo/sandstone/64x16: 192 0
:geoo/sandstone/64x16: 256 0
:geoo/sandstone/64x16: 320 0
:geoo/sandstone/64x16: 384 0
:geoo/sandstone/64x16: 448 0
:geoo/sandstone/64x16: 512 0
:geoo/sandstone/64x16: 576 0
:geoo/sandstone/32x16: 0 16
:geoo/sandstone/32x16: 608 16
:geoo/sandstone/64x32_blank: 624 368 d
:geoo/sandstone/64x32_blank: 576 368 n
:geoo/sandstone/64x32_blank: -48 368 d
:geoo/sandstone/64x32_blank: 0 368 n
