$BUILT 2014-02-10 19:58:47
:matt/bricks/01a: 816 280 fr
:matt/bricks/03: -48 312
:matt/bricks/11: 144 152
:matt/bricks/08: 240 152
:matt/bricks/10: 240 56
:matt/bricks/09: 144 56
:matt/bricks/03: 1744 344
:matt/bricks/03: 1680 344
:matt/bricks/03: 1616 344
:matt/bricks/03: 1552 344
:matt/bricks/03: 1488 344
:matt/bricks/03: 1424 344
:matt/bricks/03: 1360 344
:matt/bricks/03: 1296 344
:matt/bricks/03: 1232 344
:matt/bricks/03: 1168 344
:matt/bricks/03: 1104 344
:matt/bricks/03: 1040 344
:matt/bricks/03: 976 344
:matt/bricks/03: 912 344
:matt/bricks/03: 848 344
:matt/bricks/03: 784 344
:matt/bricks/03: 720 344
:matt/bricks/03: 656 344
:matt/bricks/03: 592 344
:matt/bricks/03: 528 344
:matt/bricks/03: 464 344
:matt/bricks/03: 400 344
:matt/bricks/03: 336 344
:matt/bricks/03: 272 344
:matt/bricks/03: 208 344
:matt/bricks/03: 144 344
:matt/bricks/03: 80 344
:matt/bricks/03: 16 344
:matt/bricks/03: -48 344
